"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"James McArthur","KCR","RP","09/16/24","Sprained elbow","Activated","09/17/24","10/02/24","09/30/24","Activated"
"Tyler Kinley","COL","RP","09/18/24","Elbow inflammation","Activated","09/19/24","10/04/24","09/30/24","Activated"
"Nestor Cortes","NYY","SP","09/18/24","Strained elbow flexor","Activated","09/22/24","10/07/24","09/30/24","Activated"
"Julian Aguiar","CIN","SP","09/19/24","Sprained elbow","Activated","09/21/24","10/06/24","09/30/24","Activated"
"John Means","BAL","SP","Oct '23","Strained forearm","Activated","03/25/24","04/09/24","05/01/24","Activated"
"Shawn Dubin","HOU","SP","Feb '24","Strained forearm","Activated","03/25/24","04/09/24","04/13/24","Activated"
"Orion Kerkering","PHI","RP","03/01/24","Strained forearm","Activated","03/25/24","04/09/24","04/14/24","Activated"
"Erik Swanson","TOR","RP","03/13/24","Forearm inflammation","Activated","03/25/24","04/09/24","04/16/24","Activated"
"Riley O'Brien","STL","RP","03/28/24","Strained forearm flexor","Activated","03/29/24","05/28/24","08/11/24","Activated"
"Daniel Bard","COL","RP","Apr '24","Flexor tendon surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Luis Robert Jr.","CHW","OF","04/05/24","Strained hip flexor","Activated","04/06/24","04/16/24","06/04/24","Activated"
"Marco Gonzales","PIT","SP","04/13/24","Strained forearm","Activated","04/14/24","06/13/24","07/12/24","Activated"
"Frankie Montas","CIN","SP","04/21/24","Forearm contusion","Activated","04/22/24","05/07/24","05/07/24","Activated"
"Jordan Wicks","CHC","SP","04/23/24","Strained forearm","Activated","04/25/24","05/10/24","06/07/24","Activated"
"Kevin Kiermaier","TOR","OF","04/23/24","Hip flexor inflammation","Activated","04/24/24","05/04/24","05/04/24","Activated"
"Bowden Francis","TOR","RP","04/24/24","Forearm tendinitis","Activated","04/25/24","05/10/24","06/04/24","Activated"
"Willson Contreras","STL","C","05/08/24","Forearm surgery (fracture)","Activated","05/08/24","05/18/24","06/24/24","Activated"
"Ian Gibaut","CIN","RP","05/09/24","Forearm surgery (Anterior interosseous nerve relea","Activated","03/25/24","05/24/24","09/24/24","Activated"
"Keaton Winn","SFG","SP","05/14/24","Strained forearm","Activated","05/15/24","05/30/24","06/09/24","Activated"
"Trevor Williams","WSN","SP","05/30/24","Strained forearm flexor","Activated","06/01/24","07/31/24","09/20/24","Activated"
"Richard Lovelady","TBR","RP","06/07/24","Strained forearm flexor","Activated","06/08/24","06/23/24","08/08/24","Activated"
"Keynan Middleton","STL","RP","06/11/24","Flexor tendon surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Anthony Rizzo","NYY","1B","06/16/24","Fractured forearm","Activated","06/17/24","08/16/24","09/01/24","Activated"
"Braxton Garrett","MIA","SP","06/17/24","Strained forearm flexor","Activated","06/20/24","08/19/24","09/30/24","Activated"
"Mark Leiter Jr.","CHC","RP","06/19/24","Strained forearm","Activated","06/20/24","07/05/24","07/09/24","Activated"
"Victor Caratini","HOU","C","06/19/24","Strained hip flexor","Activated","06/20/24","06/30/24","07/22/24","Activated"
"Javier Assad","CHC","SP","06/23/24","Strained forearm","Activated","06/24/24","07/09/24","07/13/24","Activated"
"Jared Koenig","MIL","RP","06/28/24","Forearm tendinitis","Activated","06/29/24","07/14/24","07/21/24","Activated"
"Enoli Paredes","MIL","RP","07/02/24","Forearm tendinitis","Activated","07/03/24","09/01/24","09/12/24","Activated"
"Chris Paddack","MIN","SP","07/14/24","Strained forearm","Activated","07/16/24","09/14/24","09/30/24","Activated"
"Hayden Wesneski","CHC","SP","07/19/24","Strained forearm","Activated","07/20/24","08/04/24","09/20/24","Activated"
"Miguel Rojas","LAD","INF","07/21/24","Forearm tightness","Activated","07/22/24","08/01/24","08/07/24","Activated"
"Dedniel Núñez","NYM","RP","07/23/24","Strained forearm","Activated","07/24/24","08/08/24","08/23/24","Activated"
"Reynaldo López","ATL","SP","07/28/24","Forearm inflammation","Activated","08/02/24","08/17/24","08/19/24","Activated"
"Stephen Kolek","SDP","RP","07/30/24","Forearm tendonitis","Activated","07/31/24","09/29/24","09/30/24","Activated"
"Jacob Latz","TEX","RP","08/02/24","Forearm tightness","Activated","08/03/24","08/18/24","09/18/24","Activated"
"Austin Adams","OAK","RP","08/13/24","Forearm tendinitis","Activated","08/14/24","08/29/24","09/30/24","Activated"
"Derek Law","WSN","RP","08/16/24","Strained flexor","Activated","08/17/24","09/01/24","09/02/24","Activated"
"Nick Mears","MIL","RP","08/22/24","Forearm inflammation","Activated","08/23/24","09/07/24","09/26/24","Activated"
"Dedniel Núñez","NYM","RP","08/24/24","Forearm tightness","Activated","08/26/24","09/10/24","09/30/24","Activated"
"Matt Moore","LAA","RP","08/25/24","Strained forearm","Activated","08/26/24","10/25/24","09/30/24","Activated"
"Osvaldo Bido","OAK","SP","09/07/24","Wrist flexor tendinitis","Activated","09/08/24","09/23/24","09/30/24","Activated"
"Chris Stratton","KCR","RP","09/13/24","Strained forearm flexor","Activated","09/14/24","09/29/24","09/30/24","Activated"
"Marco Gonzales","PIT","SP","09/13/24","Flexor tendon surgery","Activated","08/09/24","10/08/24","09/30/24","Activated"
"Sonny Gray","STL","SP","09/18/24","Forearm flexor tendinits","Activated","09/19/24","10/04/24","09/30/24","Activated"
"Rob Refsnyder","BOS","OF","09/19/24","Strained forearm","Activated","09/20/24","09/30/24","09/30/24","Activated"
"JoJo Romero","STL","RP","09/21/24","Forearm inflammation","Activated","09/22/24","10/07/24","09/30/24","Activated"
"Xavier Edwards","MIA","INF/OF","03/05/24","Foot infection","Activated","03/25/24","05/24/24","05/27/24","Activated"
"DJ LeMahieu","NYY","INF","03/16/24","Fractured foot (non-displaced)","Activated","03/25/24","05/24/24","05/28/24","Activated"
"Paul Blackburn","OAK","SP","05/10/24","Stress reaction in foot (fifth metatarsal)","Activated","05/11/24","07/10/24","07/26/24","Activated"
"Michael Wacha","KCR","SP","05/31/24","Fractured foot (non-displaced)","Activated","06/01/24","06/16/24","06/22/24","Activated"
"Alex Call","WSN","OF","08/23/24","Foot discomfort (partially torn plantar fascia)","Activated","08/24/24","09/03/24","09/30/24","Activated"
"Jon Gray","TEX","SP","08/30/24","Foot discomfort","Activated","08/31/24","10/30/24","09/30/24","Activated"
"Eloy Jiménez","CHW","OF","03/31/24","Strained groin","Activated","04/02/24","04/12/24","04/15/24","Activated"
"Yoán Moncada","CHW","3B","04/09/24","Strained groin","Activated","04/10/24","06/09/24","09/16/24","Activated"
"Jon Berti","NYY","INF/OF","04/10/24","Strained groin","Activated","04/11/24","04/21/24","05/04/24","Activated"
"J.D. Davis","OAK","3B/1B","04/14/24","Strained groin","Activated","04/15/24","04/25/24","05/03/24","Activated"
"Blake Snell","SFG","SP","04/19/24","Strained groin","Activated","04/21/24","05/06/24","05/22/24","Activated"
"Nathan Eovaldi","TEX","SP","05/02/24","Strained groin","Activated","05/03/24","05/18/24","05/28/24","Activated"
"Nick Lodolo","CIN","SP","05/11/24","Strained groin","Activated","05/12/24","05/27/24","05/27/24","Activated"
"Jon Gray","TEX","RP","05/21/24","Strained groin","Activated","05/22/24","06/06/24","06/08/24","Activated"
"Martín Pérez","PIT","SP","05/26/24","Strained groin","Activated","05/27/24","06/11/24","06/28/24","Activated"
"Yu Darvish","SDP","SP","05/29/24","Strained groin","Activated","05/30/24","06/14/24","09/04/24","Activated"
"Blake Snell","SFG","SP","06/02/24","Strained groin","Activated","06/03/24","06/18/24","07/09/24","Activated"
"Mike Tauchman","CHC","OF","06/17/24","Strained groin","Activated","06/18/24","06/28/24","07/19/24","Activated"
"Jake Bird","COL","RP","06/22/24","Strained groin","Activated","06/23/24","07/08/24","07/10/24","Activated"
"Kyle Schwarber","PHI","DH","06/27/24","Strained groin","Activated","06/28/24","07/08/24","07/09/24","Activated"
"Royce Lewis","MIN","3B","07/02/24","Strained groin","Activated","07/03/24","07/13/24","07/26/24","Activated"
"Wandy Peralta","SDP","SP","07/09/24","Strained groin","Activated","07/10/24","07/25/24","09/01/24","Activated"
"Dominic Canzone","SEA","OF","07/09/24","Strained groin","Activated","07/10/24","07/20/24","08/08/24","Activated"
"Chris Taylor","LAD","INF/OF","07/24/24","Strained groin","Activated","07/25/24","08/04/24","08/22/24","Activated"
"Nick Gonzales","PIT","2B","07/27/24","Strained groin","Activated","07/28/24","08/07/24","08/26/24","Activated"
"Jon Gray","TEX","SP","07/28/24","Strained groin","Activated","07/29/24","08/13/24","08/20/24","Activated"
"Gabriel Moreno","ARI","C","08/05/24","Strained groin","Activated","08/06/24","08/16/24","09/15/24","Activated"
"Manuel Margot","MIN","OF","08/31/24","Strained groin","Activated","09/01/24","09/11/24","09/11/24","Activated"
"Jorge López","CHC","RP","09/02/24","Strained groin","Activated","09/03/24","09/18/24","09/18/24","Activated"
"Burch Smith","BAL","RP","09/17/24","Strained groin","Activated","09/18/24","10/03/24","09/30/24","Activated"
"Jorge López","CHC","RP","09/19/24","Strained groin","Activated","09/20/24","10/05/24","09/30/24","Activated"
"Caleb Thielbar","MIN","RP","Feb '24","Strained hamstring","Activated","03/25/24","04/09/24","04/14/24","Activated"
"Bryan Mata","BOS","RP","02/24/24","Strained hamstring","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Max Kranick","NYM","SP","02/26/24","Strained hamstring","Activated","03/25/24","04/09/24","04/23/24","Activated"
"Vaughn Grissom","BOS","2B","03/01/24","Strained hamstring","Activated","03/25/24","04/04/24","05/03/24","Activated"
"Sonny Gray","STL","SP","03/04/24","Strained hamstring","Activated","03/25/24","04/09/24","04/09/24","Activated"
"Jake Brentz","KCR","RP","03/09/24","Strained hamstring","Activated","03/25/24","04/09/24","05/20/24","Activated"
"Justin Steele","CHC","SP","03/28/24","Strained hamstring","Activated","03/29/24","04/13/24","05/06/24","Activated"
"Alek Thomas","ARI","OF","03/31/24","Strained hamstring","Activated","04/01/24","04/11/24","07/02/24","Activated"
"Victor Robles","WSN","OF","04/03/24","Strained hamstring","Activated","04/04/24","04/14/24","05/07/24","Activated"
"Andy Ibáñez","DET","INF/OF","04/07/24","Strained hamstring","Activated","04/08/24","04/18/24","04/29/24","Activated"
"Gio Urshela","DET","3B","04/19/24","Strained hamstring","Activated","04/20/24","04/30/24","05/14/24","Activated"
"Anthony Rendon","LAA","3B","04/20/24","Strained hamstring","Activated","04/21/24","06/20/24","07/08/24","Activated"
"Tyler Heineman","BOS","C","04/21/24","Strained hamstring","Activated","04/22/24","05/02/24","05/18/24","Activated"
"Chas McCormick","HOU","OF","04/27/24","Strained hamstring","Activated","04/28/24","05/08/24","05/21/24","Activated"
"Avisaíl García","MIA","OF","04/27/24","Strained hamstring","Activated","04/28/24","05/08/24","06/04/24","Activated"
"Bryan Hoeing","MIA","RP","05/01/24","Strained hamstring","Activated","05/02/24","05/17/24","07/05/24","Activated"
"Evan Phillips","LAD","RP","05/03/24","Strained hamstring","Activated","05/04/24","05/19/24","05/31/24","Activated"
"Trea Turner","PHI","SS","05/03/24","Strained hamstring","Activated","05/04/24","05/14/24","06/17/24","Activated"
"Steven Kwan","CLE","OF","05/04/24","Strained hamstring","Activated","05/05/24","05/15/24","05/31/24","Activated"
"Wyatt Langford","TEX","OF","05/04/24","Strained hamstring","Activated","05/05/24","05/15/24","05/28/24","Activated"
"Brandon Drury","LAA","INF","05/08/24","Strained hamstring","Activated","05/09/24","05/19/24","06/17/24","Activated"
"Michael Conforto","SFG","OF","05/11/24","Strained hamstring","Activated","05/12/24","05/22/24","06/03/24","Activated"
"Rhys Hoskins","MIL","1B","05/13/24","Strained hamstring","Activated","05/14/24","05/24/24","05/31/24","Activated"
"Eloy Jiménez","CHW","OF","05/21/24","Strained hamstring","Activated","05/22/24","06/01/24","06/23/24","Activated"
"Jorge Polanco","SEA","2B","05/26/24","Strained hamstring","Activated","05/27/24","06/06/24","06/24/24","Activated"
"LaMonte Wade Jr.","SFG","OF","05/27/24","Strained hamstring","Activated","05/28/24","06/07/24","06/28/24","Activated"
"Marco Luciano","SFG","SS","05/29/24","Strained hamstring","Activated","05/30/24","06/09/24","06/14/24","Activated"
"Zac Gallen","ARI","SP","05/30/24","Strained hamstring","Activated","05/31/24","06/15/24","06/29/24","Activated"
"Romy Gonzalez","BOS","INF/OF","05/30/24","Strained hamstring","Activated","05/31/24","06/10/24","06/17/24","Activated"
"Vaughn Grissom","BOS","2B","06/01/24","Strained hamstring","Activated","06/02/24","06/12/24","08/08/24","Activated"
"Brandon Marsh","PHI","OF","06/02/24","Strained hamstring","Activated","06/03/24","06/13/24","06/15/24","Activated"
"Brendan Rodgers","COL","2B","06/07/24","Strained hamstring","Activated","06/08/24","06/18/24","06/21/24","Activated"
"Joey Gallo","WSN","1B/OF","06/11/24","Strained hamstring","Activated","06/12/24","06/22/24","08/20/24","Activated"
"Michael Harris II","ATL","OF","06/14/24","Strained hamstring","Activated","06/15/24","08/14/24","08/14/24","Activated"
"Charlie Blackmon","COL","OF","06/18/24","Strained hamstring","Activated","06/19/24","06/29/24","06/29/24","Activated"
"Abraham Toro","OAK","3B","06/21/24","Strained hamstring","Activated","06/22/24","07/02/24","07/21/24","Activated"
"Giancarlo Stanton","NYY","OF","06/22/24","Strained hamstring","Activated","06/23/24","07/03/24","07/29/24","Activated"
"TJ Friedl","CIN","OF","06/23/24","Strained hamstring","Activated","06/24/24","07/04/24","07/26/24","Activated"
"Bryan Woo","SEA","SP","06/24/24","Strained hamstring","Activated","06/25/24","07/10/24","07/12/24","Activated"
"Bryce Harper","PHI","1B","06/27/24","Strained hamstring","Activated","06/28/24","07/08/24","07/09/24","Activated"
"Casey Mize","DET","SP","06/30/24","Strained hamstring","Activated","07/01/24","08/30/24","08/30/24","Activated"
"Parker Meadows","DET","OF","07/07/24","Strained hamstring","Activated","07/08/24","07/18/24","08/03/24","Activated"
"Jacob Wilson","OAK","SS","07/19/24","Strained hamstring","Activated","07/20/24","07/30/24","08/27/24","Activated"
"Riley Greene","DET","OF","07/25/24","Strained hamstring","Activated","07/26/24","08/05/24","08/18/24","Activated"
"Joshua Palacios","PIT","OF","07/29/24","Strained hamstring","Activated","07/30/24","08/09/24","08/19/24","Activated"
"Brusdar Graterol","LAD","RP","08/06/24","Strained hamstring","Activated","08/07/24","08/22/24","09/10/24","Activated"
"Austin Hays","PHI","OF","08/07/24","Strained hamstring","Activated","08/08/24","08/18/24","08/23/24","Activated"
"Hunter Renfroe","KCR","OF","08/24/24","Strained hamstring","Activated","08/25/24","09/04/24","09/05/24","Activated"
"Joey Bart","PIT","C","08/25/24","Strained hamstring","Activated","08/26/24","09/05/24","09/06/24","Activated"
"Robbie Ray","SFG","SP","08/25/24","Strained hamstring","Activated","08/26/24","09/10/24","09/30/24","Activated"
"Michael Lorenzen","KCR","SP","08/27/24","Strained hamstring","Activated","08/28/24","09/12/24","09/25/24","Activated"
"Luis Castillo","SEA","SP","09/08/24","Strained hamstring","Activated","09/09/24","09/24/24","09/30/24","Activated"
"Max Scherzer","TEX","SP","09/14/24","Strained hamstring","Activated","09/18/24","10/03/24","09/30/24","Activated"
"Trevor Larnach","MIN","OF","09/26/24","Strained hamstring","Activated","09/27/24","10/07/24","09/30/24","Activated"
"Ben Lively","CLE","SP","Mar '24","Viral illness","Activated","03/25/24","04/09/24","04/17/24","Activated"
"Xzavion Curry","CLE","SP","Mar '24","Viral illness","Activated","03/25/24","04/09/24","04/15/24","Activated"
"Colin Holderman","PIT","RP","Mar '24","Illness","Activated","03/25/24","04/09/24","04/11/24","Activated"
"Christian Bethancourt","MIA","C","04/14/24","Viral illness","Activated","04/14/24","04/24/24","04/24/24","Activated"
"Kenta Maeda","DET","SP","05/11/24","Viral illness","Activated","05/08/24","05/23/24","05/24/24","Activated"
"Keegan Thompson","CHC","RP","05/15/24","Viral illness","Activated","05/12/24","05/27/24","06/07/24","Activated"
"Tucupita Marcano","SDP","INF/OF","08/09/23","Knee surgery (torn ACL)","Activated","03/17/24","04/02/24","06/04/24","Activated"
"Sean Newcomb","OAK","SP","12/20/23","Arthroscopic knee surgery","Activated","03/25/24","05/24/24","06/04/24","Activated"
"Ronny Mauricio","NYM","INF","01/02/24","Knee surgery (torn ACL)","Activated","03/28/24","05/27/24","09/30/24","Activated"
"McKinley Moore","NYY","RP","Feb '24","Knee bursitis","Activated","03/25/24","04/09/24","04/13/24","Activated"
"Luis Medina","OAK","SP","03/04/24","Sprained knee","Activated","03/25/24","05/24/24","06/02/24","Activated"
"Justin Topa","MIN","RP","03/15/24","Patellar tendinitis (left knee)","Activated","03/25/24","05/24/24","09/25/24","Activated"
"Miguel Andujar","OAK","OF/INF","03/27/24","Knee surgery (lateral meniscectomy)","Activated","03/25/24","04/04/24","05/24/24","Activated"
"Taylor Clarke","MIL","RP","03/30/24","Knee surgery (torn meniscus)","Activated","03/25/24","04/09/24","05/15/24","Activated"
"Geraldo Perdomo","ARI","SS","04/03/24","Torn knee meniscus","Activated","04/04/24","04/14/24","06/11/24","Activated"
"Max Kepler","MIN","OF","04/06/24","Knee contusion","Activated","04/07/24","04/22/24","04/22/24","Activated"
"Collin Snider","SEA","RP","04/07/24","Knee contusion","Activated","04/08/24","04/23/24","04/23/24","Activated"
"Jason Delay","PIT","C","04/19/24","Knee surgery","Activated","04/01/24","05/31/24","06/04/24","Activated"
"DL Hall","MIL","SP","04/20/24","Sprained knee","Activated","04/21/24","06/20/24","08/11/24","Activated"
"Austin Pruitt","TEX","RP","04/20/24","Knee discomfort","Activated","04/21/24","06/20/24","07/28/24","Activated"
"Lane Thomas","WSN","OF","04/23/24","Sprained knee","Activated","04/24/24","05/04/24","05/27/24","Activated"
"Chris Devenski","TBR","RP","04/24/24","Knee tendinitis","Activated","04/26/24","05/11/24","05/25/24","Activated"
"Miguel Sanó","LAA","1B/3B","04/26/24","Knee discomfort","Activated","04/28/24","05/08/24","06/25/24","Activated"
"Byron Buxton","MIN","OF","05/01/24","Knee inflammation","Activated","05/02/24","05/12/24","05/18/24","Activated"
"Joey Wiemer","MIL","OF","05/03/24","Knee discomfort","Activated","05/04/24","05/14/24","05/20/24","Activated"
"Tom Murphy","SFG","C","05/04/24","Sprained knee","Activated","05/05/24","07/04/24","09/30/24","Activated"
"Dansby Swanson","CHC","SS","05/07/24","Sprained knee","Activated","05/08/24","05/18/24","05/20/24","Activated"
"Tayler Saucedo","SEA","RP","05/07/24","Knee hyperextension","Activated","05/08/24","05/23/24","05/26/24","Activated"
"Tyler O'Neill","BOS","OF","05/25/24","Knee inflammation","Activated","05/26/24","06/05/24","06/05/24","Activated"
"Ronald Acuña Jr.","ATL","OF","06/05/24","Knee surgery (torn ACL)","Activated","05/27/24","07/26/24","09/30/24","Activated"
"J.T. Realmuto","PHI","C","06/12/24","Knee surgery (meniscectomy)","Activated","06/10/24","06/20/24","07/20/24","Activated"
"Starling Marte","NYM","OF","06/22/24","Knee bone bruise","Activated","06/23/24","07/03/24","08/18/24","Activated"
"Jordan Montgomery","ARI","SP","06/27/24","Knee inflammation","Activated","06/29/24","07/14/24","07/23/24","Activated"
"Wilmer Flores","SFG","INF","06/27/24","Knee tendinitis","Activated","06/28/24","07/08/24","07/09/24","Activated"
"Isiah Kiner-Falefa","PIT","INF","06/30/24","Sprained knee","Activated","07/01/24","07/11/24","08/03/24","Activated"
"Jason Heyward","LAD","OF","07/04/24","Knee contusion","Activated","07/05/24","07/15/24","07/21/24","Activated"
"Ryan Pepiot","TBR","SP","07/20/24","Knee infection","Activated","07/19/24","08/03/24","08/16/24","Activated"
"John Schreiber","KCR","RP","07/28/24","Knee discomfort","Activated","07/29/24","08/13/24","08/19/24","Activated"
"Lance Lynn","STL","SP","07/30/24","Knee inflammation","Activated","07/31/24","08/15/24","09/11/24","Activated"
"Tomás Nido","CHC","C","07/31/24","Knee surgery (meniscus)","Activated","07/25/24","08/04/24","08/30/24","Activated"
"Richie Palacios","TBR","OF/INF","07/31/24","Sprained knee","Activated","08/01/24","08/11/24","09/23/24","Activated"
"Wilmer Flores","SFG","INF","08/06/24","Tenex procedure (right knee)","Activated","07/24/24","09/22/24","09/30/24","Activated"
"Mike Trout","LAA","OF","08/07/24","Knee surgery (torn meniscus)","Activated","04/30/24","06/29/24","09/30/24","Activated"
"Andrew McCutchen","PIT","DH","08/16/24","Knee inflammation","Activated","08/17/24","08/27/24","08/30/24","Activated"
"Jake Fraley","CIN","OF","08/20/24","Sprained knee","Activated","08/21/24","08/31/24","09/01/24","Activated"
"Julian Merryweather","CHC","RP","08/25/24","Knee tendinitis","Activated","08/26/24","10/25/24","09/30/24","Activated"
"Hunter Stratton","PIT","RP","08/26/24","Knee surgery (ruptured patella tendon)","Activated","08/25/24","10/24/24","09/30/24","Activated"
"Max Kepler","MIN","OF","09/01/24","Knee tendinitis","Activated","09/02/24","11/01/24","09/30/24","Activated"
"Lance Lynn","STL","SP","09/17/24","Knee inflammation","Activated","09/18/24","10/03/24","09/30/24","Activated"
"Will Wagner","TOR","2B","09/20/24","Knee surgery","Activated","09/14/24","11/13/24","09/30/24","Activated"
"Esteury Ruiz","OAK","OF","09/24/24","Arthroscopic knee surgery","Activated","05/23/24","07/22/24","09/30/24","Activated"
"Declan Cronin","MIA","RP","09/25/24","Knee tendinitis","Activated","09/26/24","10/11/24","09/30/24","Activated"
"Jonathan Hernández","TEX","RP","10/01/23","Strained lat","Activated","03/25/24","04/09/24","04/22/24","Activated"
"Gregory Santos","SEA","RP","03/11/24","Strained lat","Activated","03/25/24","05/24/24","07/08/24","Activated"
"Kelvin Caceres","LAA","RP","03/13/24","Strained lat","Activated","05/09/24","07/08/24","09/30/24","Activated"
"Eduardo Rodriguez","ARI","SP","03/19/24","Strained lat","Activated","03/25/24","05/24/24","08/06/24","Activated"
"Pete Fairbanks","TBR","RP","04/17/24","Nerve-related issue","Activated","04/19/24","05/04/24","05/11/24","Activated"
"Brayan Bello","BOS","SP","04/19/24","Lat tightness","Activated","04/21/24","05/06/24","05/12/24","Activated"
"Clarke Schmidt","NYY","SP","05/26/24","Strained lat","Activated","05/27/24","07/26/24","09/07/24","Activated"
"Quinn Priester","PIT","SP","06/02/24","Strained lat","Activated","06/03/24","06/18/24","07/09/24","Activated"
"Emilio Pagán","CIN","RP","06/08/24","Strained lat","Activated","06/09/24","08/08/24","08/10/24","Activated"
"Michael Grove","LAD","RP","06/15/24","Strained lat","Activated","06/16/24","07/01/24","08/07/24","Activated"
"Ian Hamilton","NYY","RP","06/16/24","Strained lat","Activated","06/17/24","08/16/24","09/07/24","Activated"
"Spencer Turnbull","PHI","SP","06/26/24","Strained lat","Activated","06/27/24","08/26/24","09/30/24","Activated"
"Jared Jones","PIT","SP","07/03/24","Strained lat","Activated","07/04/24","07/19/24","08/27/24","Activated"
"Austin Wynns","CIN","C","07/28/24","Strained lat","Activated","07/29/24","09/27/24","09/30/24","Activated"
"Grayson Rodriguez","BAL","SP","08/07/24","Lat discomfort","Activated","08/04/24","08/19/24","09/30/24","Activated"
"Pete Fairbanks","TBR","RP","08/18/24","Strained lat","Activated","08/19/24","09/03/24","09/30/24","Activated"
"Lucas Sims","BOS","RP","08/25/24","Strained lat","Activated","08/26/24","09/10/24","09/19/24","Activated"
"Chris Martin","BOS","RP","Jun '24","Anxiety","Activated","06/02/24","06/17/24","06/18/24","Activated"
"Stone Garrett","WSN","OF","08/23/23","Fractured leg (fibula)","Activated","03/25/24","04/04/24","04/25/24","Activated"
"Freddy Tarnok","OAK","SP","08/30/23","Hip surgery","Activated","03/25/24","05/24/24","06/01/24","Activated"
"Sam Bachman","LAA","SP","Sep '23","Arthroscopic shoulder surgery","Activated","03/28/24","05/27/24","06/14/24","Activated"
"Josh Winder","MIN","RP","Sep '23","Shoulder discomfort (scapular stress fracture)","Activated","03/28/24","05/27/24","05/27/24","Activated"
"Tommy Kahnle","NYY","RP","09/20/23","Shoulder inflammation","Activated","03/25/24","04/09/24","05/22/24","Activated"
"Tommy Edman","LAD","OF/INF","Oct '23","Arthroscopic wrist surgery","Activated","03/25/24","05/24/24","08/19/24","Activated"
"Kyle Wright","KCR","SP","10/11/23","Shoulder surgery (torn capsule)","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Brandon Woodruff","MIL","SP","10/13/23","Shoulder surgery (anterior capsule repair)","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Taylor Walls","TBR","INF","10/30/23","Hip surgery (labrum repair)","Activated","03/25/24","05/24/24","06/07/24","Activated"
"Alex Cobb","CLE","SP","10/31/23","Hip surgery (labrum repair)","Activated","03/25/24","05/24/24","08/09/24","Activated"
"Clayton Kershaw","LAD","SP","11/03/23","Shoulder surgery (glenohumeral ligaments and capsu","Activated","03/20/24","05/19/24","07/25/24","Activated"
"David Peterson","NYM","SP","11/06/23","Hip surgery (labrum repair)","Activated","03/28/24","05/27/24","05/29/24","Activated"
"Kendall Graveman","HOU","RP","Jan '24","Shoulder surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Sam Moll","CIN","RP","Feb '24","Shoulder impingement","Activated","03/25/24","04/09/24","04/23/24","Activated"
"James Karinchak","CLE","RP","Feb '24","Shoulder inflammation","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Justin Verlander","HOU","SP","Feb '24","Shoulder inflammation","Activated","03/25/24","04/09/24","04/19/24","Activated"
"Carlos Hernández","KCR","RP","Feb '24","Shoulder soreness","Activated","03/25/24","04/09/24","05/24/24","Activated"
"JT Chargois","MIA","RP","Feb '24","Neck spasms","Activated","03/25/24","05/24/24","06/12/24","Activated"
"Braxton Garrett","MIA","SP","Feb '24","Shoulder impingement","Activated","03/25/24","04/09/24","05/08/24","Activated"
"Wade Miley","MIL","SP","Feb '24","Shoulder impingement","Activated","03/25/24","04/09/24","04/10/24","Activated"
"Zack Weiss","MIN","RP","Feb '24","Strained shoulder (teres major)","Activated","03/25/24","05/24/24","07/17/24","Activated"
"Glenn Otto","SDP","SP","Feb '24","Strained shoulder (teres major)","Activated","03/17/24","04/07/24","06/25/24","Activated"
"Eduard Bazardo","SEA","RP","Feb '24","Strained shoulder (rotator cuff)","Activated","03/25/24","04/09/24","05/08/24","Activated"
"Kodai Senga","NYM","SP","02/21/24","Strained shoulder (posterior capsule)","Activated","03/25/24","05/24/24","07/26/24","Activated"
"Shane Drohan","CHW","SP","02/22/24","Shoulder surgery (nerve decompression)","Activated","03/25/24","05/24/24","06/09/24","Activated"
"Michael Stefanic","LAA","INF","02/24/24","Strained quad","Activated","03/25/24","05/24/24","05/29/24","Activated"
"Alek Manoah","TOR","SP","02/27/24","Shoulder inflammation","Activated","03/25/24","04/09/24","05/05/24","Activated"
"Dylan Covey","PHI","RP","03/01/24","Strained shoulder","Activated","03/25/24","05/24/24","08/27/24","Activated"
"Michael Rucker","PHI","RP","03/01/24","Finger numbness","Activated","03/25/24","05/24/24","07/26/24","Activated"
"Yasmani Grandal","PIT","C","Mar '24","Plantar fascitis","Activated","03/25/24","04/04/24","05/03/24","Activated"
"Sam Haggerty","SEA","INF/OF","Mar '24","Medical procedure","Activated","03/25/24","04/04/24","04/17/24","Activated"
"Michael Lorenzen","TEX","SP","Mar '24","Strained neck","Activated","03/25/24","04/09/24","04/15/24","Activated"
"Brusdar Graterol","LAD","RP","03/02/24","Shoulder inflammation","Activated","03/17/24","05/22/24","08/05/24","Activated"
"Lars Nootbaar","STL","OF","03/02/24","Non-displaced rib fractures","Activated","03/25/24","04/04/24","04/11/24","Activated"
"Tristan Beck","SFG","SP","03/04/24","Vascular surgery (upper arm aneurysm)","Activated","03/28/24","05/27/24","09/01/24","Activated"
"Caleb Kilian","CHC","SP","03/05/24","Strained shoulder","Activated","03/28/24","05/27/24","07/31/24","Activated"
