"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"River Ryan","LAD","SP","Aug '24","Tommy John surgery","Activated","08/11/24","10/10/24","09/30/24","Activated"
"Brandon Williamson","CIN","SP","Sep '24","Tommy John surgery","Activated","09/18/24","11/17/24","09/30/24","Activated"
"Christian Scott","NYM","SP","Sep '24","Tommy John surgery (internal brace)","Activated","07/22/24","09/20/24","09/30/24","Activated"
"Randal Grichuk","ARI","OF","Jan '24","Ankle procedure (bone spur removal)","Activated","03/25/24","04/04/24","04/05/24","Activated"
"Darell Hernaiz","OAK","INF","05/07/24","Sprained ankle","Activated","05/08/24","07/07/24","08/02/24","Activated"
"Wilyer Abreu","BOS","OF","06/02/24","Sprained ankle","Activated","06/03/24","06/13/24","06/22/24","Activated"
"Tommy Pham","CHW","OF","06/02/24","Sprained ankle","Activated","06/03/24","06/13/24","06/14/24","Activated"
"Sean Bouchard","COL","OF","06/05/24","Sprained ankle","Activated","06/06/24","06/16/24","06/19/24","Activated"
"Kyle Harrison","SFG","SP","06/16/24","Sprained ankle","Activated","06/13/24","06/28/24","07/06/24","Activated"
"MJ Melendez","KCR","OF","07/14/24","Sprained ankle","Activated","07/15/24","07/25/24","07/28/24","Activated"
"Dane Myers","MIA","OF","07/14/24","Fractured ankle","Activated","07/15/24","09/13/24","09/24/24","Activated"
"Julio Rodríguez","SEA","OF","07/21/24","Sprained ankle","Activated","07/22/24","08/01/24","08/11/24","Activated"
"Ketel Marte","ARI","2B","08/18/24","Sprained ankle","Activated","08/19/24","08/29/24","09/06/24","Activated"
"Ramón Urías","BAL","INF","08/31/24","Sprained ankle","Activated","09/01/24","09/11/24","09/22/24","Activated"
"Grant Anderson","TEX","RP","09/04/24","Ankle contusion","Activated","09/05/24","09/20/24","09/30/24","Activated"
"Brennen Davis","CHC","OF","09/10/24","Fractured ankle","Activated","09/13/24","11/12/24","09/30/24","Activated"
"Scott Effross","NYY","RP","Dec '23","Back surgery","Activated","03/28/24","05/27/24","07/15/24","Activated"
"Max Scherzer","TEX","SP","12/14/23","Back surgery (herniated disc)","Activated","03/25/24","05/24/24","06/23/24","Activated"
"Alex Young","CIN","RP","Feb '24","Back tightness","Activated","03/25/24","05/24/24","05/28/24","Activated"
"Jose A. Ferrer","WSN","RP","Mar '24","Strained upper back","Activated","03/28/24","05/27/24","07/19/24","Activated"
"Devin Williams","MIL","RP","03/05/24","Stress fractures in back","Activated","03/25/24","05/24/24","07/28/24","Activated"
"Rafael Marchán","PHI","C","03/07/24","Back discomfort","Activated","03/25/24","04/04/24","05/27/24","Activated"
"Jameson Taillon","CHC","SP","03/09/24","Strained lower back","Activated","03/25/24","04/09/24","04/18/24","Activated"
"Patrick Wisdom","CHC","INF/OF","03/13/24","Strained back","Activated","03/25/24","04/04/24","04/18/24","Activated"
"Michael Massey","KCR","2B","03/16/24","Lower back tightness","Activated","03/25/24","04/04/24","04/19/24","Activated"
"Luke Jackson","SFG","RP","03/28/24","Strained lower back","Activated","03/29/24","04/13/24","04/22/24","Activated"
"Jason Heyward","LAD","OF","03/30/24","Lower back tightness","Activated","03/31/24","04/10/24","05/17/24","Activated"
"Cody Bradford","TEX","SP","04/10/24","Strained lower back/ Rib stress fracture","Activated","04/11/24","06/10/24","07/29/24","Activated"
"Christian Yelich","MIL","OF","04/12/24","Strained lower back","Activated","04/13/24","04/23/24","05/08/24","Activated"
"Kris Bryant","COL","1B/OF","04/13/24","Strained lower back","Activated","04/14/24","04/24/24","05/21/24","Activated"
"Kyle Hendricks","CHC","SP","04/21/24","Strained lower back","Activated","04/22/24","05/07/24","05/12/24","Activated"
"Colin Poche","TBR","RP","04/23/24","Back tightness","Activated","04/24/24","05/09/24","06/08/24","Activated"
"Nolan Jones","COL","OF","04/28/24","Strained lower back","Activated","04/29/24","05/09/24","06/14/24","Activated"
"Yariel Rodríguez","TOR","SP","04/29/24","Back inflammation (thoracic spine)","Activated","04/30/24","05/15/24","06/21/24","Activated"
"Steven Matz","STL","SP","04/30/24","Strained lower back","Activated","05/01/24","06/30/24","09/01/24","Activated"
"Danny Mendick","CHW","INF/OF","05/01/24","Lower back tightness","Activated","05/02/24","05/12/24","05/17/24","Activated"
"Dominic Leone","CHW","RP","05/04/24","Lower back tightness","Activated","05/05/24","05/20/24","05/20/24","Activated"
"Joe Boyle","OAK","SP","05/05/24","Strained lower back","Activated","05/06/24","05/21/24","06/05/24","Activated"
"Ke'Bryan Hayes","PIT","3B","05/07/24","Back inflammation","Activated","05/08/24","05/18/24","05/28/24","Activated"
"Ehire Adrianza","LAA","INF","05/08/24","Back spasms","Activated","05/09/24","05/19/24","06/15/24","Activated"
"Tim Anderson","MIA","SS","05/10/24","Lower back tightness","Activated","05/11/24","05/21/24","05/21/24","Activated"
"Colten Brewer","CHC","RP","05/12/24","Strained lower back","Activated","05/14/24","05/29/24","06/11/24","Activated"
"Zach Eflin","TBR","SP","05/18/24","Lower back inflammation","Activated","05/19/24","06/03/24","06/05/24","Activated"
"Steven Wilson","CHW","RP","05/19/24","Strained back","Activated","05/20/24","06/04/24","06/12/24","Activated"
"Joe Ross","MIL","SP","05/20/24","Strained lower back","Activated","05/21/24","07/20/24","07/30/24","Activated"
"Michael Massey","KCR","2B","05/24/24","Sprained lower back","Activated","05/25/24","06/04/24","06/24/24","Activated"
"Evan Carter","TEX","OF","05/26/24","Lower back tightness","Activated","05/27/24","07/26/24","09/30/24","Activated"
"Kody Clemens","PHI","INF/OF","06/02/24","Lower back spasms","Activated","05/31/24","06/10/24","06/28/24","Activated"
"Javier Báez","DET","SS","06/08/24","Back inflammation (lumbar spine)","Activated","06/09/24","06/19/24","07/08/24","Activated"
"Alex Kirilloff","MIN","1B/OF","06/11/24","Back discomfort","Activated","06/12/24","08/11/24","09/30/24","Activated"
"Oliver Dunn","MIL","INF/OF","06/12/24","Strained back","Activated","06/19/24","08/18/24","09/30/24","Activated"
"Nick Sandlin","CLE","RP","06/16/24","Lower back inflammation","Activated","06/17/24","07/02/24","07/04/24","Activated"
"Iván Herrera","STL","C","06/18/24","Lower back tightness","Activated","06/19/24","06/29/24","07/12/24","Activated"
